site_id,longitude,latitude,charger_num,total_duration,total_volume,avg_power,perimeter,area
50,-118.485106094,34.0028562641,1,4468.833333333332,29498.958333333332,6.600665729801832,603.7549250448482,28605.74389456127
51,-118.4615595584,34.048269241439996,10,44387.79166666665,293020.7916666666,6.601530953916014,710.5143630660951,38573.04246709485
52,-118.25967665033333,33.841567644066664,3,8149.5054906031455,53819.75602964743,6.602863530757792,620.369957015097,30200.421189101457
53,-118.3035445305,34.174488229716665,6,16864.35570205257,111452.847633547,6.6109838944401815,645.9530480699613,32656.426688150907
54,-118.47081781349999,34.029374891550006,2,9432.666666666662,62327.24166666667,6.6033495789186585,618.9879453091435,30173.00377458836
55,-118.46166909,34.0472803373,1,1988.5725806451605,13124.579032258065,6.600000000000003,603.9350941181807,28620.722105294964
56,-118.31005830699999,34.181081827599996,2,7583.95833333333,50128.65833333333,6.607481861814695,619.1928738402656,30061.65916228569
57,-118.4696370845,34.031431108700005,2,8103.791666666663,53485.024999999994,6.600000000000001,623.6006948133593,30660.13186393648
58,-118.344536,34.198936,1,6126.916666666665,40535.475000000006,6.619252580534509,604.5533010411197,28672.10340109056
59,-118.345314,34.19945,1,4569.041666666665,30169.65,6.603047334582552,604.5554045969822,28672.27820091148
60,-118.1686751,33.9014224,1,1950.8039215686267,12875.30588235294,6.600000000000003,603.3450990436293,28571.66703402912
61,-118.48204307750001,33.99988836295,2,7802.999999999997,51504.45833333333,6.600190229227923,633.5608446765706,31306.462259773045
62,-118.3920345,34.0259058,1,2314.541666666666,15275.975,6.600000000000002,603.8483542848738,28613.511270290503
63,-118.32925619742858,34.096473421685715,7,13260.63541666666,87520.19374999999,5.657142857142858,620.5089829813579,30266.846679415317
64,-118.351832539,34.022167982300004,2,5751.385665201007,279303.31444466265,34.4115407944436,634.0745169123991,31766.613451919224
65,-118.39498242766666,33.904511562016665,6,13590.249999999996,89695.65,6.600000000000002,706.658555329605,39349.60277677432
66,-118.481606,34.006878,1,8697.541666666664,57414.625,6.601090059521555,603.7712187358418,28607.09852702227
67,-118.49681,34.0227,1,9582.58333333333,63273.0,6.602426063661502,603.8353531602941,28612.4304301311
68,-118.493432502,34.0256939603,1,7868.916666666664,51965.375,6.605391778209061,603.8474951023871,28613.439842969667
69,-118.463875,34.014572,1,2896.7083333333326,19118.274999999998,6.600000000000002,603.8023997524734,28609.6908302582
70,-118.201175933,34.0642686768,2,8099.916666666662,53473.425,6.604451589825537,611.6272308816734,29401.34702937197
71,-118.182881484,33.7648928596,1,5026.249999999999,33173.25,6.600000000000002,602.7968744738488,28526.068657924963
72,-118.273309934,34.0335217872,1,3335.791666666666,40029.5,12.000000000000004,603.8792496117442,28616.07969810753
73,-118.41664229999999,34.0614621,3,14373.958333333328,94921.39166666666,6.602657343206013,612.1403671580659,29432.416063828263
74,-118.3535198895,34.06368712625,2,5278.916666666664,34840.85,6.600000000000003,623.2684868962848,30565.612019175973
75,-118.17086909166666,33.8105419622,3,9875.08333333333,118534.66666666667,12.00313710056752,684.7130719315118,35841.005929010294
76,-118.438572358,34.0705506162,1,4043.666666666665,26688.2,6.600000000000002,604.0296366396168,28628.581145270244
