charger_id,longitude,latitude,site,total_duration,total_volume,avg_power
11761991,-118.193342856,33.7674966554,23,3497.2499999999986,23081.850000000002,6.600000000000003
11762111,-118.1930747,33.7675003,23,2615.6666666666656,17263.399999999998,6.600000000000003
118135,-118.464959945,33.9913023097,24,1688.5833333333326,11149.308333333334,6.6034703253042
118167,-118.357427437,33.8064580907,25,2285.291666666666,15082.925,6.600000000000003
118199,-118.39670479,33.920673977,26,2477.0416666666656,16348.475,6.600000000000003
118219,-118.466179681,34.235201235,27,2065.7083333333326,10328.541666666666,5.000000000000002
118305,-118.299452029,33.8912360428,28,2032.2499999999995,13412.85,6.600000000000003
118355,-118.33300044,33.7915296929,29,1835.5833333333328,12114.85,6.600000000000004
11841981,-118.386431763,33.8183423951,30,7545.499999999998,49800.3,6.600000000000002
11843201,-118.376958,33.8894921,31,1580.791666666666,98540.62499999999,62.3475167265438
11843261,-118.377290594,33.8893317889,31,3825.666666666665,25254.058333333334,6.600903653410932
11843301,-118.377333509,33.8895811616,31,5572.291666666665,36818.5,6.604171596753952
11860731,-118.24527,34.047596,32,2541.624999999999,16774.725,6.600000000000004
11998531,-118.255369233,34.0404464741,33,729.9999999999995,4817.999999999999,6.6
11998821,-118.255393373,34.0404153578,33,140930.625,930142.1250000001,6.6
12413551,-118.254806085,34.0405918774,33,5109.999999999999,33726.00000000001,6.6
12114681,-118.251490612,34.0525977761,34,2740.7499999999995,18088.95,6.600000000000003
12132471,-118.251503404,34.0525080006,34,3211.117424242423,21193.375,6.600000000000003
12132541,-118.251476588,34.0525354464,34,3142.208333333332,20738.574999999997,6.600000000000001
12132691,-118.251455801,34.0525621137,34,4666.958333333331,30829.875,6.606476040021065
12132731,-118.25143702,34.0525830667,34,3369.499999999999,22336.525,6.615212119818212
12151221,-118.251506503,34.0526261127,34,1408.6249999999998,9296.925,6.600000000000003
121919,-118.42972369,34.0658022526,35,2374.999999999999,13628.341666666667,5.639728290686319
121959,-118.430839391,34.0664628049,36,4608.374999999998,30419.93333333333,6.600662919216359
123125,-118.335374712,33.8716949941,37,6002.666666666665,39631.575000000004,6.601813479143075
12407841,-118.41388,34.05976,38,5308.791666666665,35038.024999999994,6.600000000000003
12408291,-118.413945167,34.0595734526,38,4311.791666666665,28467.14166666667,6.601020789017046
12410521,-118.413931847,34.0595809414,38,2744.374999999999,18112.875,6.600000000000003
12411491,-118.414284527,34.0584313855,39,5173.374999999998,34195.51666666666,6.632393430574404
12412401,-118.414221256,34.0587837245,39,3208.3333333333326,21188.975,6.6028399523892505
12412521,-118.414402038,34.0586089695,39,5492.833333333332,36266.675,6.6013004660457835
12415011,-118.6039503785,34.19098372095,40,3712.333333333332,24538.666666666668,6.606076000445952
12415021,-118.6039557105,34.19084172945,40,4588.874999999998,30293.808333333334,6.60095519812658
12415031,-118.6040844835,34.190992598250006,40,3277.499999999999,21631.5,6.600000000000001
12415561,-118.604240036,34.1910946539,40,2724.583333333332,17986.90833333333,6.600730356162956
12842541,-118.6040844835,34.19088610085,40,2272.3749999999995,11366.666666666664,5.001143573119072
12842551,-118.6042454,34.1908506017,40,2658.333333333332,13315.624999999998,5.006725076954993
12842571,-118.60421320649999,34.1908506017,40,3300.666666666665,21803.033333333336,6.602752509938687
12896231,-118.6041273915,34.19084172945,40,1890.2916666666656,12475.925000000001,6.600000000000003
12415571,-118.6041999,34.1899053,41,2741.2916666666656,18097.18333333333,6.601642861341332
12421311,-118.164574025,33.8969517796,42,2320.4583333333326,15315.025000000001,6.600000000000004
12424541,-118.501466196,34.229026723,43,2015.041666666666,13299.275,6.600000000000003
12427261,-118.4079995,33.9806003,44,2700.249999999999,13501.249999999998,5.000000000000001
12434811,-118.198379867,33.7690895822,45,3045.9999999999986,20103.6,6.600000000000002
12434841,-118.198345803,33.7690932838,45,3299.791666666666,21778.625000000004,6.600000000000002
12442211,-118.37918,33.908173,46,3888.2083333333317,25675.1,6.6015193146921
12442841,-118.31887886,33.8046861872,47,3266.958333333332,21571.241666666665,6.602278178191031
12442851,-118.318886044,33.8046364849,47,4563.666666666665,30120.2,6.600000000000001
12482091,-118.444913907,34.0462403317,48,2680.8749999999986,17698.433333333334,6.600834378171834
12482111,-118.444961953,34.0463011102,48,2888.5833333333326,19055.833333333336,6.5981123093842875
12482121,-118.444860364,34.0461783342,48,2789.958333333332,18427.699999999997,6.603556450971557
12492731,-118.255318029,34.1408218807,49,889.583333333333,10675.0,12.000000000000004
12544051,-118.485106094,34.0028562641,50,4468.833333333332,29498.958333333332,6.600665729801832
12544661,-118.4614,34.0481,51,6006.541666666665,39643.17499999999,6.600000000000004
12588341,-118.46167,34.048424,51,2926.583333333332,19315.45,6.600000000000003
